cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour
666,40.533305295886095,-74.21185333417418,7,1
760,40.53326487750802,-74.2059501502828,16,23
855,40.53772820084975,-74.1999934057173,102,22
667,40.53780935198483,-74.21180055195948,84,22
761,40.53776892721583,-74.20589697283249,44,22
289,40.52895986910751,-74.23551737772186,0,-1
195,40.52883354137403,-74.24044932979905,0,-1
290,40.53346395386911,-74.23546618804225,28,23
196,40.53363910434804,-74.24032054113175,4,22
291,40.53796803505487,-74.23541498680008,3,23
197,40.538040002983955,-74.24127023578527,0,-1
1794,40.5332257286099,-74.13907087743894,0,-1
1888,40.53295407872541,-74.13539048904114,0,-1
1983,40.53730622273028,-74.13005508259619,0,-1
1227,40.520912387018186,-74.1776299759239,4,0
1322,40.52477027969199,-74.17083355149295,2,22
1228,40.524076422062606,-74.17657784730079,22,23
943,40.51163249853446,-74.19533438007606,0,-1
944,40.51517881124811,-74.19437537235417,13,0
1038,40.516109696073144,-74.19005836549425,0,-1
1133,40.520890937654485,-74.1829782350604,2,0
945,40.51967100426682,-74.19430564924146,21,22
1039,40.519739281629796,-74.18854819319556,10,0
1134,40.52409213043483,-74.18244701532653,19,23
946,40.524175051794586,-74.19425171788143,0,-1
1511,40.52926523796362,-74.15925529534783,19,0
1606,40.533309059273336,-74.15324879633205,15,22
1512,40.53293067485737,-74.15872511896092,15,22
1607,40.53739153264449,-74.1527653119302,78,23
1701,40.53752093739196,-74.14704079964767,122,22
1513,40.53743467172149,-74.15866877973808,25,22
1323,40.528512020819164,-74.17058683849527,11,23
1417,40.52857432523055,-74.16480019516639,19,22
1229,40.52855424179039,-74.17648955386821,6,0
1324,40.533016034765446,-74.17053130224063,0,-1
1230,40.53305826241276,-74.17643441274124,8,22
1418,40.532973505579704,-74.16462820428413,15,22
1231,40.53756227945081,-74.1763792591594,24,0
1419,40.53747750921614,-74.16457226027171,29,22
1325,40.537520045126534,-74.17047575344192,3,1
1040,40.52413374183903,-74.1883493604689,2,22
1041,40.52863777925306,-74.18829502188002,24,22
1135,40.52859616126896,-74.18239228169286,1,1
947,40.52867909574084,-74.19419777434044,1,22
1136,40.53310018851976,-74.18233753569673,11,0
948,40.53318313610548,-74.19414381861539,18,23
1042,40.533141813084605,-74.18824067101784,38,23
1137,40.537604212187105,-74.18228277733493,62,23
1043,40.53764584333358,-74.18818630787925,6,0
949,40.5376871728884,-74.19408985070314,26,0
1608,40.54189551910064,-74.15270856468511,46,22
1514,40.54193866499853,-74.15861242778945,47,23
1702,40.54185207157462,-74.1468047143991,63,0
1609,40.54639950196868,-74.15265180462171,78,22
1515,40.546442654688356,-74.15855606311179,16,22
1703,40.54635604757319,-74.14674755895327,5,4
1610,40.55090348124854,-74.15259503173675,27,22
1516,40.55094664079089,-74.15849968570183,27,23
1704,40.550860019982665,-74.14669039059653,32,22
1611,40.55540745694008,-74.15253824602694,14,22
1796,40.542186608717294,-74.14248302643115,15,22
1984,40.54156126786642,-74.12717651059408,0,-1
1797,40.54642396194505,-74.14101318953645,31,22
1891,40.54743772079836,-74.13524044953405,0,-1
1985,40.54663499470678,-74.12852957087723,0,-1
1892,40.55077219228804,-74.13488114714788,35,0
1986,40.55072782586316,-74.12897654501806,0,-1
1798,40.5508162569952,-74.14078576237047,65,22
1893,40.555276147222656,-74.1348231747648,26,23
2173,40.54748668235864,-74.1182733955647,0,-1
2079,40.54640987953531,-74.12336535682668,0,-1
2174,40.550638187867996,-74.117167380394,0,-1
2080,40.550683157722496,-74.1230719560703,0,-1
2268,40.55097243625578,-74.11239820398741,0,-1
2175,40.55514212161645,-74.11710822136772,17,22
2363,40.55570736552818,-74.10570045628462,0,-1
2364,40.55955517820139,-74.10523835546043,28,0
2458,40.560122671459254,-74.1002517684438,10,23
1799,40.55532021889647,-74.14072818554183,53,0
